Preliminary report: 20 October 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 1: BIS reporting banks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summary of international positions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In billions of US dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amounts outstanding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Dec.1977,Mar.1978,Jun.1978,Sep.1978,Dec.1978,Mar.1979,Jun.1979,Sep.1979,Dec.1979,Mar.1980,Jun.1980,Sep.1980,Dec.1980,Mar.1981,Jun.1981,Sep.1981,Dec.1981,Mar.1982,Jun.1982,Sep.1982,Dec.1982,Mar.1983,Jun.1983,Sep.1983,Dec.1983,Mar.1984,Jun.1984,Sep.1984,Dec.1984,Mar.1985,Jun.1985,Sep.1985,Dec.1985,Mar.1986,Jun.1986,Sep.1986,Dec.1986,Mar.1987,Jun.1987,Sep.1987,Dec.1987,Mar.1988,Jun.1988,Sep.1988,Dec.1988,Mar.1989,Jun.1989,Sep.1989,Dec.1989,Mar.1990,Jun.1990,Sep.1990,Dec.1990,Mar.1991,Jun.1991,Sep.1991,Dec.1991,Mar.1992,Jun.1992,Sep.1992,Dec.1992,Mar.1993,Jun.1993,Sep.1993,Dec.1993,Mar.1994,Jun.1994,Sep.1994,Dec.1994,Mar.1995,Jun.1995,Sep.1995,Dec.1995,Mar.1996,Jun.1996,Sep.1996,Dec.1996,Mar.1997,Jun.1997,Sep.1997,Dec.1997,Mar.1998,Jun.1998,Sep.1998,Dec.1998,Mar.1999,Jun.1999,Sep.1999,Dec.1999,Mar.2000,Jun.2000,Sep.2000,Dec.2000,Mar.2001,Jun.2001,Sep.2001,Dec.2001,Mar.2002,Jun.2002,Sep.2002,Dec.2002,Mar.2003,Jun.2003,Sep.2003,Dec.2003,Mar.2004,Jun.2004,Sep.2004,Dec.2004,Mar.2005,Jun.2005,Sep.2005,Dec.2005,Mar.2006,Jun.2006,Sep.2006,Dec.2006,Mar.2007,Jun.2007,Sep.2007,Dec.2007,Mar.2008,Jun.2008,Sep.2008,Dec.2008,Mar.2009,Jun.2009,Sep.2009,Dec.2009,Mar.2010,Jun.2010,Sep.2010,Dec.2010,Mar.2011,Jun.2011
and other assets,Q:M:D:A:C:5A:3P + Q:M:I:A:C:5A:3P,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,933.506,1015.753,1042.532,1084.608,1122.04,1128.921,1152.438,1293.759,1351.96,1400.376,1524.659,1604.865,1703.939,1928.969,2024.668,2163.982,2051.969,2137.848,2269.386,2273.395,2456.317,2590.951,2551.653,2696.665,2756.176,2797.038,3161.24,3233.391,3316.971,3491.544,3733.867,3850.459,4133.854,4526.556,4639.43,4876.185,5351.506,5458.043,5530.45,5621.028,5907.955,6304.567,6704.222,6662.594,7137.466,7555.019,7981.863,8453.193,8883.596,9225.696,9171.291,8647.973,8389.548,8010.626,8381.915,8696.595,8417.449,8252.171,7865.248,8664.877,8100.205,8443.104,8553.231
claims on banks,Q:M:D:A:C:5A:3P + Q:M:I:A:C:5A:3P - Q:M:D:A:D:5A:3P - Q:M:I:A:D:5A:3P,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,264.972,318.234,320.333,338.604,333.048,320.27,341.252,423.977,423.826,450.991,501.343,537.726,553.772,700.255,753.333,827.444,785.673,844.607,917.39,911.769,1001.456,1081.265,1054.982,1094.649,1103.491,1122.718,1275.78,1280.073,1250.009,1309.328,1327.046,1378.756,1484.839,1644.062,1697.39,1717.093,1892.431,1956.702,1948.906,1941.088,2016.792,2212.38,2403.047,2483.88,2644.344,2878.082,3080.07,3244.942,3389.531,3748.436,3743.561,3609.907,3700.676,3467.972,3524.961,3738.643,3585.545,3482.506,3422.225,3786.5,3461.298,3620.646,3680.48
claims on non-banks,Q:M:D:A:D:5A:3P + Q:M:I:A:D:5A:3P,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,668.534,697.519,722.199,746.004,788.992,808.651,811.186,869.782,928.134,949.385,1023.316,1067.139,1150.167,1228.714,1271.335,1336.538,1266.296,1293.241,1351.996,1361.626,1454.861,1509.686,1496.671,1602.016,1652.685,1674.32,1885.46,1953.318,2066.962,2182.216,2406.821,2471.703,2649.015,2882.494,2942.04,3159.092,3459.075,3501.341,3581.544,3679.94,3891.163,4092.187,4301.175,4178.714,4493.122,4676.937,4901.793,5208.251,5494.065,5477.26,5427.73,5038.066,4688.872,4542.654,4856.954,4957.952,4831.904,4769.665,4443.023,4878.377,4638.907,4822.458,4872.751
C. Local assets in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
foreign currency,Q:M:A:A:C:5A:1E,154.108,159.057,163.574,177.406,191.052,194.951,207.634,225.604,242.043,261.26,284.595,296.638,318.939,333.566,333.266,360.01,382.899,409.569,383.694,421.254,424.49,447.534,409.882,443.654,497.307,534.78,511.755,522.965,525.313,557.094,529.119,597.467,622.565,686.241,693.218,802.285,814.357,897.116,898.019,949.216,1040.636,1066.89,992.183,1061.038,1080.869,1151.779,1095.605,1198.373,1212.106,1296.983,1254.886,1363.353,1396.558,1342.416,1257.455,1296.349,1378.433,1313.011,1305.277,1398.721,1296.8,1291.704,1250.65,1291.273,1305.32,1342.672,1320.256,1364.633,1372.537,1491.273,1467.855,1433.915,1422.641,1450.773,1430.198,1467.434,1464.879,1493.173,1479.688,1459.266,1485.817,1527.162,1542.068,1568.82,1503.81,1267.853,1254.48,1305.596,1255.038,1365.878,1388.766,1378.639,1506.95,1590.674,1542.633,1585.91,1551.178,1613.703,1666.524,1633.328,1742.508,1946.525,2068.368,2147.151,2345.109,2509.904,2536.017,2549.731,2655.276,2923.824,2838.681,2858.609,2783.082,3080.653,3195.087,3155.093,3279.684,3654.315,3721.31,3885.116,3944.29,4472.305,4241.737,4197.207,4071.025,3689.303,3749.295,3730.253,3759.55,3713.361,3598.452,3880.983,3801.511,3926.355,4037.811
claims on banks,Q:M:A:A:C:5A:1E - Q:M:A:A:D:5A:1E,90.298,94.217,95.415,107.992,116.273,117.174,125.35,141.244,154.757,168.113,179.508,188.959,205.904,220.196,215.294,236.334,249.972,275.8,247.992,282.592,279.918,300.872,261.44,291.217,324.187,349.238,329.464,336.742,334.104,356.714,330.036,385.142,402.23,443.121,432.809,511.727,508.003,550.449,519.58,558.048,603.16,615.649,555.734,608.066,593.899,637.351,575.335,655.472,636.842,682.339,619.344,701.584,725.271,689.508,605.194,640.022,697.855,678.074,665.529,728.219,683.105,684.789,660.458,698.423,734.108,765.652,751.65,791.881,802.74,881.412,858.941,855.335,831.708,850.464,825.317,865.802,836.158,860.481,868.015,861.563,880.754,930.289,934.299,939.986,885.828,727.771,700.895,737.158,704.891,745.517,743.24,752.395,798.664,871.911,835.858,861.067,793.5,861.365,864.976,843.197,898.211,1067.486,1169.043,1208.814,1301.723,1419.159,1447.191,1464.667,1508.014,1676.596,1611.863,1616.869,1499.19,1656.895,1706.294,1671.608,1681.009,1925.64,1902.855,1953.074,1867.551,2124.546,1989.868,1998.939,1989.295,1758.679,1798.533,1813.841,1833.702,1783.021,1727.736,1865.077,1823.367,1898.813,1974.002
claims on non-banks,Q:M:A:A:D:5A:1E,63.81,64.84,68.159,69.414,74.779,77.777,82.284,84.36,87.286,93.147,105.087,107.679,113.035,113.37,117.972,123.676,132.927,133.769,135.702,138.662,144.572,146.662,148.442,152.437,173.12,185.542,182.291,186.223,191.209,200.38,199.083,212.325,220.335,243.12,260.409,290.558,306.354,346.667,378.439,391.168,437.476,451.241,436.449,452.972,486.97,514.428,520.27,542.901,575.264,614.644,635.542,661.769,671.287,652.908,652.261,656.327,680.578,634.937,639.748,670.502,613.695,606.915,590.192,592.85,571.212,577.02,568.606,572.752,569.797,609.861,608.914,578.58,590.933,600.309,604.881,601.632,628.721,632.692,611.673,597.703,605.063,596.873,607.769,628.834,617.982,540.082,553.585,568.438,550.147,620.361,645.526,626.244,708.286,718.763,706.775,724.843,757.678,752.338,801.548,790.131,844.297,879.039,899.325,938.337,1043.386,1090.745,1088.826,1085.064,1147.262,1247.228,1226.818,1241.74,1283.892,1423.758,1488.793,1483.485,1598.675,1728.675,1818.455,1932.042,2076.739,2347.759,2251.869,2198.268,2081.73,1930.624,1950.762,1916.412,1925.848,1930.34,1870.716,2015.906,1978.144,2027.542,2063.809
D. Total liabilities,Q:M:A:A:A:5A:5J,795.126,814.286,837.261,915.666,1017.07,1021.534,1103.495,1222.256,1324.168,1351.443,1451.214,1499.171,1593.495,1620.505,1611.377,1711.942,1845.034,1884.465,1861.012,1935.267,1981.016,2002.21,1964.928,2019.458,2460.877,2542.162,2548.176,2526.783,2567.584,2661.529,2655.676,2843.825,3078.41,3216.961,3335.265,3690.606,3926.014,4186.043,4352.014,4620.489,5090.406,5139.055,5067.747,5322.588,5494.466,5690.198,5593.694,5968.762,6478.394,6639.755,6715.962,7322.038,7633.307,7304.748,6981.255,7186.454,7608.708,7337.462,7478.635,7915.782,7476.57,7498.36,7367.76,7589.685,7518.184,7817.464,7985.828,8348.559,8545.224,9265.28,9360.669,9289.153,9306.789,9396.19,9287.357,9443.001,9560.309,9807.372,10004.084,9993.395,10601.839,10605.952,10795.653,11285.444,11263.726,10678.719,10596.18,11013.793,10994.363,11323.869,11453.17,11334.511,12014.648,12518.922,12243.426,12537.037,12969.826,13079.004,13878.801,13945.216,14741.058,15860.611,16693.589,16951.502,18135.041,19281.089,19367.345,19789.396,21249.354,22209.721,22516.936,23155.704,23292.493,25246.225,26699.971,27185.095,28490.303,30995.098,32498.558,34342.337,36041.626,39221.956,37921.952,36390.51,34006.73,32150.502,32676.797,32960.387,32338.272,31930.473,31139.406,33457.882,32749.345,34225.406,34414.392
liabilities to banks,Q:M:A:A:A:5A:5J - Q:M:A:A:B:5A:5J,664.116,673.103,689.15,755.487,824.871,817.034,882.092,982.564,1074.797,1093.058,1173.616,1219.044,1294.487,1322.976,1303.591,1378.872,1485.13,1515.702,1475.624,1546.573,1578.976,1596.55,1546.197,1595.221,1911.826,1970.205,1976.56,1968.133,1998.061,2080.518,2068.49,2226.895,2421.453,2529.072,2615.272,2922.099,3133.659,3344.554,3495.032,3723.948,4147.21,4193.076,4125.8,4357.014,4486.827,4633.33,4516.099,4844.503,5067.329,5141.26,5176.479,5631.723,5902.003,5613.523,5335.314,5479.635,5875.726,5643.455,5715.663,6056.241,5731.859,5697.021,5592.473,5763.868,5749.914,5951.805,6070.862,6343.244,6549.896,7106.818,7190.507,7110.688,7089.903,7066.006,6962.654,7063.935,7164.761,7300.483,7470.233,7516.632,8043.211,7988.157,8115.799,8456.058,8514.606,7944.129,7842.149,8169.404,8161.764,8380.341,8459.575,8352.157,8893.45,9238.762,9037.823,9148.831,9407.972,9443.211,10028.732,10014.397,10656.321,11385.122,12065.339,12141.34,12898.264,13792.43,13944.17,14155.8,15128.464,15755.377,16155.306,16598.988,16848.355,18285.648,19068.237,19395.359,20315.885,22207.754,23096.606,24402.692,25734.923,27929.795,26694.042,25986.98,24382.792,23106.984,23427.688,23591.713,23176.029,22800.488,22236.721,23880.336,23137.868,24106.504,24135.386
liabilities to non-banks,Q:M:A:A:B:5A:5J,131.01,141.183,148.111,160.179,192.199,204.5,221.403,239.692,249.371,258.385,277.598,280.127,299.008,297.529,307.786,333.07,359.904,368.763,385.388,388.694,402.04,405.66,418.731,424.237,549.051,571.957,571.616,558.65,569.523,581.011,587.186,616.93,656.957,687.889,719.993,768.507,792.355,841.489,856.982,896.541,943.196,945.979,941.947,965.574,1007.639,1056.868,1077.595,1124.259,1411.065,1498.495,1539.483,1690.315,1731.304,1691.225,1645.941,1706.819,1732.982,1694.007,1762.972,1859.541,1744.711,1801.339,1775.287,1825.817,1768.27,1865.659,1914.966,2005.315,1995.328,2158.462,2170.162,2178.465,2216.886,2330.184,2324.703,2379.066,2395.548,2506.889,2533.851,2476.763,2558.628,2617.795,2679.854,2829.386,2749.12,2734.59,2754.031,2844.389,2832.599,2943.528,2993.595,2982.354,3121.198,3280.16,3205.603,3388.206,3561.854,3635.793,3850.069,3930.819,4084.737,4475.489,4628.25,4810.162,5236.777,5488.659,5423.175,5633.596,6120.89,6454.344,6361.63,6556.716,6444.138,6960.577,7631.734,7789.736,8174.418,8787.344,9401.952,9939.645,10306.703,11292.161,11227.91,10403.53,9623.938,9043.518,9249.109,9368.674,9162.243,9129.985,8902.685,9577.546,9611.477,10118.902,10279.006
E. External liabilities,Q:M:A:A:A:5A:3P,671.534,685.626,702.481,767.218,856.903,861.113,932.568,1034.928,1119.763,1136.749,1222.664,1260.187,1334.859,1347.215,1341.668,1416.261,1531.963,1546.064,1547.163,1582.357,1627.393,1629.5,1629.576,1651.015,2038.161,2090.813,2117.491,2087.759,2124.932,2195.984,2205.113,2327.24,2536.403,2626.398,2745.099,2995.347,3233.994,3426.279,3618.28,3833.069,4232.103,4259.326,4271.461,4447.49,4623.436,4767.017,4731.38,5012.244,5482.463,5571.292,5714.981,6191.22,6481.166,6174.129,5944.257,6095.263,6422.816,6172.435,6318.007,6646.681,6300.613,6267.137,6177.245,6344.246,6267.414,6445.547,6651.431,6947.542,7150.433,7721.557,7874.03,7791.552,7831.33,7869.011,7830.41,7949.275,8100.069,8262.18,8484.763,8571.392,9117.98,9090.447,9242.918,9673.889,9695.323,9335.563,9294.085,9610.145,9611.207,9862.335,9947.516,9833.683,10420.68,10809.453,10563.518,10816.568,11187.486,11241.589,12025.248,12053.607,12802.834,13708.119,14360.661,14513.838,15464.34,16394.232,16561.522,16935.253,18243.925,18902.589,19267.227,19837.053,20052.006,21690.301,23068.802,23489.296,24602.105,26799.392,28109.161,29777.745,31420.371,34152.252,33045.26,31500.05,29192.844,27812.887,28349.874,28632.563,28131.403,27856.881,27153.852,29097.614,28477.27,29719.811,29831.672
liabilities to banks,Q:M:A:A:A:5A:3P - Q:M:A:A:B:5A:3P,572.078,577.882,590.923,647.733,706.722,697.551,757.018,842.445,915.44,925.452,995.76,1029.98,1087.635,1091.81,1077.205,1129.422,1221.428,1227.248,1213.302,1247.694,1283.904,1281.514,1270.038,1287.946,1568.92,1603.195,1628.639,1611.866,1650.099,1710.591,1717.793,1818.725,1995.331,2063.62,2155.904,2376.07,2589.316,2750.012,2926.77,3115.054,3478.453,3504.686,3515.588,3677.556,3820.368,3929.302,3873.415,4115.409,4361.547,4394.472,4498.265,4873.847,5119.966,4855.571,4661.428,4777.328,5060.757,4845.561,4931.613,5205.583,4938.062,4879.419,4797.525,4948.067,4898.141,5029.552,5187.402,5414.944,5600.447,6074.027,6193.968,6107.08,6124.388,6097.569,6042.734,6126.183,6261.84,6357.613,6538.709,6603.565,7079.576,7000.857,7098.956,7419.679,7502.49,7090.497,7013.341,7290.332,7304.439,7476.664,7549.333,7422.78,7907.846,8171.893,7995.738,8086.595,8327.682,8308.475,8898.936,8899.445,9484.678,10032.251,10588.779,10603.934,11223.675,11957.691,12184.934,12333.676,13249.256,13688.633,14164.202,14579.608,14911.37,16127.329,16888.836,17200.242,18052.71,19700.668,20558.397,21797.702,23146.926,25097.464,24005.748,23096.234,21505.888,20579.85,20978.106,21168.774,20849.81,20589.286,20061.674,21476.2,20843.785,21688.832,21664.811
liabilities to non-banks,Q:M:A:A:B:5A:3P,99.456,107.744,111.558,119.485,150.181,163.562,175.55,192.483,204.323,211.297,226.904,230.207,247.224,255.405,264.463,286.839,310.535,318.816,333.861,334.663,343.489,347.986,359.538,363.069,469.241,487.618,488.852,475.893,474.833,485.393,487.32,508.515,541.072,562.778,589.195,619.277,644.678,676.267,691.51,718.015,753.65,754.64,755.873,769.934,803.068,837.715,857.965,896.835,1120.916,1176.82,1216.716,1317.373,1361.2,1318.558,1282.829,1317.935,1362.059,1326.874,1386.394,1441.098,1362.551,1387.718,1379.72,1396.179,1369.273,1415.995,1464.029,1532.598,1549.986,1647.53,1680.062,1684.472,1706.942,1771.442,1787.676,1823.092,1838.229,1904.567,1946.054,1967.827,2038.404,2089.59,2143.962,2254.21,2192.833,2245.066,2280.744,2319.813,2306.768,2385.671,2398.183,2410.903,2512.834,2637.56,2567.78,2729.973,2859.804,2933.114,3126.312,3154.162,3318.156,3675.868,3771.882,3909.904,4240.665,4436.541,4376.588,4601.577,4994.669,5213.956,5103.025,5257.445,5140.636,5562.972,6179.966,6289.054,6549.395,7098.724,7550.764,7980.043,8273.445,9054.788,9039.512,8403.816,7686.956,7233.037,7371.768,7463.789,7281.593,7267.595,7092.178,7621.414,7633.485,8030.979,8166.861
1. Loans and deposits,Q:M:G:A:A:5A:3P,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,7467.431,7491.266,7444.619,7546.687,7673.182,7831.496,8034.424,8098.245,8453.866,8388.631,8549.525,8947.276,8942.734,8612.671,8562.5,8867.058,8835.568,9059.962,9071.081,8971.333,9454.574,9812.773,9584.759,9800.398,10020.57,10038.87,10744.917,10771.962,11388.513,12055.949,12613.543,12684.468,13488.304,14300.754,14456.112,14752.834,15855.659,16358.269,16602.597,17066.973,17222.544,18586.553,19823.709,20347.713,21289.071,23255.804,24258.358,25667.989,27131.069,29413.556,28205.544,26965.466,24467.455,23170.89,23460.338,23537.534,23113.393,22872.022,22191.381,23577.21,23280.717,24209.947,24188.034
liabilities to banks,Q:M:G:A:A:5A:3P - Q:M:G:A:B:5A:3P,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,5770.893,5728.096,5665.135,5731.748,5843.485,5936.448,6097.895,6174.036,6466.656,6335.215,6445.179,6733.664,6786.654,6441.026,6342.351,6610.168,6603.519,6758.183,6765.014,6657.246,7061.493,7299.222,7117.826,7219.65,7312.655,7255.247,7790.245,7805.974,8278.157,8611.097,9086.748,9027.042,9592.983,10222.087,10430.075,10524.434,11289.421,11592.781,11965.989,12299.526,12541.879,13549.98,14189.244,14644.217,15346.981,16829.258,17447.973,18503.42,19710.405,21241.572,20016.67,19300.871,17487.22,16624.279,16826.765,16776.372,16523.543,16275.088,15747.72,16660.394,16287.051,16866.475,16770.703
liabilities to non-banks,Q:M:G:A:B:5A:3P,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1696.538,1763.17,1779.484,1814.939,1829.697,1895.048,1936.529,1924.209,1987.21,2053.416,2104.346,2213.612,2156.08,2171.645,2220.149,2256.89,2232.049,2301.779,2306.067,2314.087,2393.081,2513.551,2466.933,2580.748,2707.915,2783.623,2954.672,2965.988,3110.356,3444.852,3526.795,3657.426,3895.321,4078.667,4026.037,4228.4,4566.238,4765.488,4636.608,4767.447,4680.665,5036.573,5634.465,5703.496,5942.09,6426.546,6810.385,7164.569,7420.664,8171.984,8188.874,7664.595,6980.235,6546.611,6633.573,6761.162,6589.85,6596.934,6443.661,6916.816,6993.666,7343.472,7417.331
2. Own issues of securities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
and other liabilities,Q:M:D:A:A:5A:3P + Q:M:I:A:A:5A:3P,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,363.899,377.744,385.791,402.588,426.887,430.684,450.339,473.129,664.106,701.819,693.393,726.609,728.919,722.892,731.583,743.087,775.639,802.37,876.437,862.348,966.099,996.68,978.761,1016.184,1166.895,1202.705,1280.275,1281.619,1414.277,1652.164,1747.102,1829.338,1976.008,2093.444,2105.114,2182.404,2388.243,2544.294,2664.626,2770.057,2829.43,3103.737,3245.066,3141.56,3313.009,3543.583,3850.77,4109.717,4289.252,4738.625,4839.711,4534.56,4725.367,4641.951,4889.496,5095.013,5017.95,4984.803,4962.422,5520.346,5196.476,5509.797,5643.581
liabilities to banks,Q:M:D:A:A:5A:3P + Q:M:I:A:A:5A:3P - Q:M:D:A:B:5A:3P - Q:M:I:A:B:5A:3P,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,353.495,369.473,377.599,394.435,418.355,421.165,440.814,429.51,611.643,665.645,653.777,686.013,692.046,649.471,670.988,680.164,700.92,718.478,784.321,765.532,846.345,872.667,877.921,866.954,1015.019,1053.177,1108.678,1093.483,1206.512,1421.163,1502.026,1576.877,1630.676,1735.577,1754.604,1809.243,1959.834,2095.849,2198.233,2280.083,2369.481,2577.332,2699.566,2556.016,2705.715,2871.432,3110.423,3294.277,3436.504,3855.871,3989.095,3795.354,4018.669,3955.565,4151.344,4392.419,4326.228,4314.187,4313.954,4815.792,4556.714,4822.317,4894.083
liabilities to non-banks,Q:M:D:A:B:5A:3P + Q:M:I:A:B:5A:3P,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,10.404,8.271,8.192,8.153,8.532,9.519,9.525,43.619,52.463,36.174,39.616,40.596,36.873,73.421,60.595,62.923,74.719,83.892,92.116,96.816,119.754,124.013,100.84,149.23,151.876,149.528,171.597,188.136,207.765,231.001,245.076,252.461,345.332,357.867,350.51,373.161,428.409,448.445,466.393,489.974,459.949,526.405,545.5,585.544,607.294,672.151,740.347,815.44,852.748,882.754,850.616,739.206,706.698,686.386,738.152,702.594,691.722,670.616,648.468,704.554,639.762,687.48,749.498
F. Local liabilities in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
foreign currency,Q:M:A:A:A:5A:1E,123.592,128.66,134.78,148.448,160.167,160.421,170.927,187.328,204.405,214.694,228.55,238.984,258.636,273.29,269.709,295.681,313.071,338.401,313.849,352.91,353.623,372.71,335.352,368.443,422.716,451.349,430.685,439.024,442.652,465.545,450.563,516.585,542.007,590.563,590.166,695.259,692.02,759.764,733.734,787.42,858.303,879.729,796.286,875.098,871.03,923.181,862.314,956.518,995.931,1068.463,1000.981,1130.818,1152.141,1130.619,1036.998,1091.191,1185.892,1165.027,1160.628,1269.101,1175.957,1231.223,1190.515,1245.439,1250.77,1371.917,1334.397,1401.017,1394.791,1543.723,1486.639,1497.601,1475.459,1527.179,1456.947,1493.726,1460.24,1545.192,1519.321,1422.003,1483.859,1515.505,1552.735,1611.555,1568.403,1343.156,1302.095,1403.648,1383.156,1461.534,1505.654,1500.828,1593.968,1709.469,1679.908,1720.469,1782.34,1837.415,1853.553,1891.609,1938.224,2152.492,2332.928,2437.664,2670.701,2886.857,2805.823,2854.143,3005.429,3307.132,3249.709,3318.651,3240.487,3555.924,3631.169,3695.799,3888.198,4195.706,4389.397,4564.592,4621.255,5069.704,4876.692,4890.46,4813.886,4337.615,4326.923,4327.824,4206.869,4073.592,3985.554,4360.268,4272.075,4505.595,4582.72
liabilities to banks,Q:M:A:A:A:5A:1E - Q:M:A:A:B:5A:1E,92.038,95.221,98.227,107.754,118.149,119.483,125.074,140.119,159.357,167.606,177.856,189.064,206.852,231.166,226.386,249.45,263.702,288.454,262.322,298.879,295.072,315.036,276.159,307.275,342.906,367.01,347.921,356.267,347.962,369.927,350.697,408.17,426.122,465.452,459.368,546.029,544.343,594.542,568.262,608.894,668.757,688.39,610.212,679.458,666.459,704.028,642.684,729.094,705.782,746.788,678.214,757.876,782.037,757.952,673.886,702.307,814.969,797.894,784.05,850.658,793.797,817.602,794.948,815.801,851.773,922.253,883.46,928.3,949.449,1032.791,996.539,1003.608,965.515,968.437,919.92,937.752,902.921,942.87,931.524,913.067,963.635,987.3,1016.843,1036.379,1012.116,853.632,828.808,879.072,857.325,903.677,910.242,929.377,985.604,1066.869,1042.085,1062.236,1080.29,1134.736,1129.796,1114.952,1171.643,1352.871,1476.56,1537.406,1674.589,1834.739,1759.236,1822.124,1879.208,2066.744,1991.104,2019.38,1936.985,2158.319,2179.401,2195.117,2263.175,2507.086,2538.209,2604.99,2587.997,2832.331,2688.294,2890.746,2876.904,2527.134,2449.582,2422.939,2326.219,2211.202,2175.047,2404.136,2294.083,2417.672,2470.575
